# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4252.0000 s1_M85 2000000 1 2.0000 sensor1.0 N0.0 299 N sensor1.0->N0.0
4304.0000 s1_M86 2000000 1 4.0000 sensor1.0 N0.0 299 N sensor1.0->N0.0
4351.0000 s1_M87 2000000 1 1.0000 sensor1.0 N0.10 299 N sensor1.0->N0.10
4409.0000 s1_M88 2000000 1 9.0000 sensor1.0 N0.1 299 N sensor1.0->N0.1
4459.0000 s1_M89 2000000 1 9.0000 sensor1.0 N0.1 299 N sensor1.0->N0.1
4510.0000 s1_M90 2000000 1 10.0000 sensor1.0 N0.1 299 N sensor1.0->N0.1
4559.0000 s1_M91 2000000 1 9.0000 sensor1.0 N0.0 299 N sensor1.0->N0.0
4602.0000 s1_M92 2000000 1 2.0000 sensor1.0 N0.10 299 N sensor1.0->N0.10
4652.0000 s1_M93 2000000 1 2.0000 sensor1.0 N0.10 299 N sensor1.0->N0.10
4726.0000 s1_M94 2000000 2 26.0000 sensor1.0 N0.0 299 N sensor1.0->N0.10->N0.0
4764.0000 s1_M95 2000000 1 14.0000 sensor1.0 N0.1 299 N sensor1.0->N0.1
4816.0000 s1_M96 2000000 1 16.0000 sensor1.0 N0.1 299 N sensor1.0->N0.1
4857.0000 s1_M97 2000000 1 7.0000 sensor1.0 N0.10 299 N sensor1.0->N0.10
4912.0000 s1_M98 2000000 2 12.0000 sensor1.0 N0.0 299 N sensor1.0->N0.10->N0.0
4970.0000 s1_M99 2000000 2 20.0000 sensor1.0 N0.0 299 N sensor1.0->N0.10->N0.0
7350.0000 s1_M138 2000000 1 450.0000 sensor11.0 N0.0 292 N sensor11.0->N0.0
9499.0000 s1_M122 2000000 1 3399.0000 sensor11.0 N0.0 243 N sensor11.0->N0.0
9500.0000 s1_M175 2000000 1 750.0000 sensor11.0 N0.0 287 N sensor11.0->N0.0
9501.0000 s1_M167 2000000 1 1151.0000 sensor11.0 N0.10 280 N sensor11.0->N0.10
9502.0000 s1_M166 2000000 1 1202.0000 sensor11.0 N0.0 279 N sensor11.0->N0.0
9503.0000 s1_M173 2000000 1 853.0000 sensor11.0 N0.1 285 N sensor11.0->N0.1
9504.0000 s1_M181 2000000 1 454.0000 sensor11.0 N0.0 292 N sensor11.0->N0.0
9505.0000 s1_M172 2000000 1 905.0000 sensor11.0 N0.1 284 N sensor11.0->N0.1
9506.0000 s1_M174 2000000 1 806.0000 sensor11.0 N0.10 286 N sensor11.0->N0.10
9507.0000 s1_M176 2000000 1 707.0000 sensor11.0 N0.0 288 N sensor11.0->N0.0
9508.0000 s1_M179 2000000 1 558.0000 sensor11.0 N0.0 290 N sensor11.0->N0.0
9509.0000 s1_M187 2000000 1 159.0000 sensor11.0 N0.1 297 N sensor11.0->N0.1
9510.0000 s1_M168 2000000 1 1110.0000 sensor11.0 N0.0 281 N sensor11.0->N0.0
9511.0000 s1_M182 2000000 1 411.0000 sensor11.0 N0.1 293 N sensor11.0->N0.1
9512.0000 s1_M178 2000000 1 612.0000 sensor11.0 N0.10 289 N sensor11.0->N0.10
9513.0000 s1_M170 2000000 1 1013.0000 sensor11.0 N0.10 283 N sensor11.0->N0.10
9514.0000 s1_M183 2000000 1 364.0000 sensor11.0 N0.0 293 N sensor11.0->N0.0
9515.0000 s1_M180 2000000 1 515.0000 sensor11.0 N0.10 291 N sensor11.0->N0.10
9516.0000 s1_M190 2000000 1 16.0000 sensor11.0 N0.0 299 N sensor11.0->N0.0
9517.0000 s1_M186 2000000 1 217.0000 sensor11.0 N0.0 296 N sensor11.0->N0.0
9518.0000 s1_M171 2000000 1 968.0000 sensor11.0 N0.10 283 N sensor11.0->N0.10
9519.0000 s1_M177 2000000 1 669.0000 sensor11.0 N0.1 288 N sensor11.0->N0.1
9520.0000 s1_M188 2000000 1 120.0000 sensor11.0 N0.0 298 N sensor11.0->N0.0
